datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;geographic_reference;geographic_reference_auto;territory;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;shared_catalog;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
nuitees-dans-les-campings-municipaux;Nuitées dans les campings municipaux;"<p>Nuitées et chiffre d'affaires annuels des campings municipaux malouins.</p><ul>
<li>La Cité d'Alet : 300 emplacements</li><li>Les Ilots : initialement réservé aux caravanes et camping-cars, devenu exclusivement aire de camping-cars en octobre 2012</li><li>Les Nielles : la capacité d'accueil a été réduite en 2013, puis le camping a été fermé en 2015</li><li>Le Nicet : le camping a fermé fin 2012</li></ul>";Economie, Business, PME, Développement économique, Emploi;nuitée, tourisme, camping, camping-car;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2016-06-29 09:06:13+00:00;;;2017-12-30 15:28:42+00:00;2017-12-30 15:28:43+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/nuitees-dans-les-campings-municipaux/;16;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
reglementation-des-plages;Réglementation des plages;<p>Plage par plage, ce jeu de données dresse la liste des autorisations et interdictions qui s'appliquent à toutes les activités de baignade et de nautisme à Saint-Malo.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;plage, sport, police, littoral, surveillance, baignade, nautisme;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-08-09 14:14:16+00:00;;;2017-12-30 15:28:33+00:00;2017-12-30 15:28:34+00:00;;;;Ville de Saint-Malo;;20;Direction des Sports - Ville de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45
effectifs-scolaires;Effectifs scolaires;<p>Tableau des effectifs scolaires par école et par niveau pour les écoles maternelles et primaires de la commune de Saint-Malo.</p><p>De la très petite section de maternelle (TPS) au CM2 élémentaire.</p><p>La colonne Autres désigne les classes spécifiques comme CLIS ou Passerelle.</p>;Education, Formation, Recherche, Enseignement;effectifs, maternelle, ecole, primaire, classe, scolaire, education;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2016-08-24 14:34:46+00:00;;;2017-12-30 15:30:29+00:00;2017-12-30 15:30:30+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/effectifs-scolaires/;146;Source : Education Nationale / Direction de l'Education - Ville de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245
hebergements-touristiques;Hébergements touristiques;"<p>Statistiques sur les capacités d'hébergement touristique des 18 communes de l'agglomération :</p><ul><li>Hôtels : nombre d'hôtels et nombre de chambres, par catégorie</li><li>Campings : nombre de campings et nombre d'emplacements, par catégorie</li></ul><p>Le nouveau classement touristique résulte de la loi n° 2009-888 du 22 juillet 2009 de développement et de modernisation des services touristiques, qui fixe une nouvelle norme et la procédure de classement des établissements touristiques. Il est valable 5 ans et comporte 5 catégories allant de 1 à 5 étoiles  (plus la distinction ""palace"" pour certains hôtels 5 étoiles).
Selon les dispositions prévues par la loi, l'ancien classement hôtelier (de 0 à 4 étoiles et 4 étoiles luxe) est caduc depuis le 23 juillet 2012.</p><p>Ce nouveau classement est géré par Atout France, groupement d'intérêt économique représentant les principales chaînes hôtelières et parcs d'attraction, qui se substitue à l’État.</p>";Economie, Business, PME, Développement économique, Emploi;camping, chambres, hotel, lits, hebergement, vacances, tourisme;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2016-08-29 13:10:07+00:00;;;2017-12-30 15:28:28+00:00;2017-12-30 15:28:29+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/hebergements-touristiques-1/;126;Source : INSEE, avec Direction Générale des Entreprises (ex-DGCIS) et CRT Bretagne;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21
statistiques-logements;Statistiques logements;"<p>Chiffres de l'INSEE concernant la commune de Saint-Malo.</p><p>De 1968 à 1999, comptages dans le cadre des recensements ""quinquennaux"". A partir de 2006, méthode de recensement annuel en continu.</p><p>Le nombre de logements est détaillé par type :</p><ul><li>Résidences principales</li><li>Résidences secondaires (logements utilisés pour les week-ends, loisirs ou vacances. Les locations meublées pour des séjours touristiques sont également classés en résidences secondaires)</li><li>Logements vacants (logements proposés à la vente ou à la location, en attente de règlement de succession, logements de fonction inoccupés)</li></ul>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;résidence, logement;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2016-08-30 07:03:51+00:00;;;2017-12-30 15:29:51+00:00;2017-12-30 15:29:52+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/statistiques-logements/;13;INSEE;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25
voies-cyclables;Voies cyclables;<p>Dans le cadre de son Plan Vélo, la commune de Saint-Malo augmente chaque année le linéaire de voies cyclables.</p>;Transports, Déplacements;cyclable, vélo, voie, voirie;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-09-15 14:22:53+00:00;;;2017-12-30 15:28:40+00:00;2017-12-30 15:28:41+00:00;;;;Ville de Saint-Malo;Plan Vélo 2015;99;Direction de l'Espace Public - Mairie de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33
decheteries-communautaires;Déchèteries communautaires;<p>Localisation des déchèteries gérées par Saint-Malo Agglomération sur son territoire.</p>;Environnement;déchets, déchèterie, recyclage, tri;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-09-15 15:43:57+00:00;;;2017-12-30 15:27:34+00:00;2017-12-30 15:27:35+00:00;;;;SAINT-MALO AGGLOMERATION;;5;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
chemin-de-randonnee-tour-de-quelmer;Chemin de randonnée : Tour de Quelmer;<p>Circuit de randonnée pédestre élaboré par le Comité Ille-et-Vilaine de la FFRandonnée, en collaboration avec la Ville de Saint-Malo et le Département de l'Ille-et-Vilaine, notamment pour la continuité de la SPPL (Servitude de Passage des Piétons le long du Littoral).</p><p>Une petite partie du tracé emprunte le territoire de la commune de Saint-Jouan-des-Guérets.</p>;Sport, Loisirs;randonnée, circuit, tourisme, littoral, sppl, sentier, balade;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-09-15 15:52:52+00:00;;;2017-12-30 15:27:29+00:00;2017-12-30 15:27:30+00:00;;;;Ville de Saint-Malo;;1;Ville de Saint-Malo & Comité FFRandonnée Ille-et-Vilaine;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
resultats-danalyse-des-eaux-de-baignade;Résultats d'analyse des eaux de baignade;<p>Série chronologique des résultats d'analyses d'eaux de baignade effectuées par l'Agence Régionale de Santé (ARS Bretagne) sur les 13 plages de Saint-Malo, depuis 2010.</p>;Santé, Environnement;plage, environnement, eau, baignade;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-10-05 09:24:54+00:00;;;2017-12-30 15:26:34+00:00;2017-12-30 15:26:35+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/resultats-d-analyse-des-eaux-de-baignade/;1101;ARS Bretagne & Ville de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
boites-aux-lettres-de-rue;Boites aux lettres de rue;"<p>Localisation des boîtes aux lettres de rue présentes sur le territoire de la communauté d'agglomération de Saint-Malo.</p><p>Ce jeu de données est une extraction à l'échelle des 18 communes de l'agglomération du <a href=""https://www.data.gouv.fr/fr/datasets/liste-des-boites-aux-lettres-de-rue-france-metropolitaine-et-dom-1/"" target=""_blank"">jeu complet produit par la Poste</a>.</p>";Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;courrier, poste, boites-aux-lettres;odc-odbl;http://opendatacommons.org/licenses/odbl/;;;2016-10-28 15:09:01+00:00;;;2017-12-30 15:28:36+00:00;2017-12-30 15:28:37+00:00;;;;SAINT-MALO AGGLOMERATION;https://www.data.gouv.fr/fr/datasets/boites-aux-lettres-de-rue/;130;La Poste & Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;304
taux-de-couverture-en-telephonie-mobile-4g;Taux de couverture en téléphonie mobile 4G;<p>Ce jeu de données est tiré des enquêtes menées par l'ARCEP (Autorité de Régulation des Communications Electroniques et des Postes) sur les opérateurs de réseaux de téléphonie mobile en France.</p><p>Il détaille les taux de couverture surfacique par commune, à l'extérieur des bâtiments, selon la déclaration des opérateurs.</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;téléphone, mobile, 4G, couverture;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2016-12-09 08:19:55+00:00;;;2017-12-30 15:27:47+00:00;2017-12-30 15:27:48+00:00;;;;SAINT-MALO AGGLOMERATION;http://www.arcep.fr/?id=12823;54;ARCEP;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8
antennes-de-telephonie-mobile;Antennes de téléphonie mobile;;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2017-01-09 13:08:59+00:00;;;2017-12-30 15:30:12+00:00;2017-12-30 15:30:13+00:00;;;;SAINT-MALO AGGLOMERATION;http://www.anfr.fr/gestion-des-frequences-sites/lobservatoire-en-carte2/;258;ANFR & Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18
bureaux-de-poste-agences-postales-et-relais-poste;Bureaux de poste, agences postales et relais poste;"<p>Extraction à l'échelle de Saint-Malo Agglomération du jeu de données national ""Liste des bureaux de poste, agences postales et relais poste"" de la Poste.</p>";Services, Social;poste, courrier, services;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2017-01-09 16:20:48+00:00;;;2017-12-30 15:28:01+00:00;2017-12-30 15:28:02+00:00;;;;SAINT-MALO AGGLOMERATION;https://datanova.legroupe.laposte.fr/explore/dataset/laposte_poincont2;17;La Poste, Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
frequentation-du-site-saint-malofr;Fréquentation du site saint-malo.fr;"<p>Statistiques quotidiennes du site web de la commune, disponible à l'adresse <a href=""http://www.saint-malo.fr"" target=""_blank"">http://www.saint-malo.fr</a> :</p><p>Les données disponibles sont :</p><ul><li>nombre de visites totales</li><li>nombre de visiteurs uniques</li><li>nombre de pages vues</li></ul>";Administration, Gouvernement, Finances publiques, Citoyenneté;visite, web, internet;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2017-01-23 07:49:03+00:00;;;2017-12-30 15:30:07+00:00;2017-12-30 15:30:08+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/frequentation-du-site-saint-malo-fr/;1828;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85
perimetre-des-sage-sur-le-territoire-de-saint-malo-agglomeration;Périmètre des SAGE sur le territoire de Saint-Malo Agglomération;<p>Le territoire de Saint-Malo Agglomération est à cheval sur deux bassins versants et donc deux Schémas d'Aménagement et de Gestion des Eaux (SAGE).</p><p>Un SAGE est un document de planification élaboré de manière collective, pour un périmètre hydrographique cohérent. Il fixe des objectifs généraux d’utilisation, de mise en valeur, de protection quantitative et qualitative de la ressource en eau.</p>;Environnement;eau, sage, gemapi, bassin;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2017-03-24 12:25:57+00:00;;;2017-12-30 15:27:54+00:00;2017-12-30 15:27:55+00:00;;;;SAINT-MALO AGGLOMERATION;;2;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
tri-saint-malo-baie-du-mont-saint-michel;TRI Saint-Malo Baie du Mont Saint-Michel;"<p>Dans le  cadre  de  la mise  en œuvre de la directive européenne du 23 octobre 2007  relative  à l’évaluation et à la gestion des risques d’inondation (dite « Directive inondations »), 22 Territoires à Risque Important (TRI) d'inondation ont été identifiés sur le bassin Loire-­Bretagne.</p>
 <div>Au vu des enjeux potentiellement touchés par une submersion marine à Saint-­Malo et en Baie du Mont Saint-­Michel, le secteur littoral s’étendant de Saint-­Malo à l’Ouest jusqu'au Mont Saint-­Michel à l’Est constitue l'un de ces 22 TRI. Il a été nommé TRI ""<em>Saint-­Malo – Baie du Mont Saint""­Michel</em>"".</div>
 <div>3 scénarios de submersion ont été simulés, permettant de calculer un nombre d'habitants en zone inondable :</div>
 
<ul>
<li>un événement fréquent</li><li>un événement d’occurrence moyenne (période de retour de l’ordre de 100 ans), en intégrant dès à présent deux scénarios d’élévation du niveau marin liés au changement climatique</li><li>un événement extrême d’occurrence rare</li></ul>";Environnement;risques, inondation, submersion, bassin, directive;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2017-03-24 15:12:41+00:00;;;2017-12-30 15:28:11+00:00;2017-12-30 15:28:12+00:00;;;;SAINT-MALO AGGLOMERATION;http://www.donnees.centre.developpement-durable.gouv.fr/risques/directive_inondation/5_Cartes_%20St_Malo_Baie_du_Mont_St_Michel.pdf;26;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35
origine-geographique-des-visiteurs-du-site-saint-malofr;Origine géographique des visiteurs du site saint-malo.fr;<p>Ce jeu de données donne la répartition des visiteurs sur le site saint-malo.fr, en fonction de leur origine géographique :</p><ul><li>nombre de visites totales</li><li>pourcentage des visites par rapport aux visites totales</li><li>nombre de pages par visite</li><li>durée moyenne (en secondes)</li></ul>;Administration, Gouvernement, Finances publiques, Citoyenneté;visite, web, internet;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2017-04-20 15:07:50+00:00;;;2017-12-30 15:26:43+00:00;2017-12-30 15:26:44+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/origine-geographique-des-visiteurs-du-site-saint-malo-fr/;896;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
monuments-historiques-classes-a-saint-malo;Monuments historiques classés à Saint-Malo;<p>En 2014, 14 immeubles malouins, y compris en mer, sont protégés au titre des Monuments Historiques par un arrêté de classement.</p>;Culture, Patrimoine;patrimoine, classement, immeuble, monument;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2017-04-24 10:38:50+00:00;;;2017-12-30 15:30:09+00:00;2017-12-30 15:30:10+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/monuments-historiques-classes-a-saint-malo/;14;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;890
emplacement-des-bureaux-de-vote-saint-malo;Emplacement des bureaux de vote (Saint-Malo);<p>Emplacement des 42 bureaux de vote de la commune, répartis sur 20 lieux de vote.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;vote, bureau, élections;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2017-04-24 13:11:17+00:00;;;2017-12-30 15:30:14+00:00;2017-12-30 15:30:15+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/emplacement-des-bureaux-de-vote/;42;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
perimetres-des-bureaux-de-vote;Périmètres des bureaux de vote;"<p>Périmètres (zonages de rattachement) des bureaux de vote de Saint-Malo.</p><p>Le redécoupage des cantons issu du <a href=""http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028637230"" target=""_blank"">décret du 18 février 2014</a> a nécessité de réorganiser les bureaux de vote sur la commune de Saint-Malo, qui sont désormais au nombre de 42, rattachés à 20 périmètres.</p><p>Pour la localisation géographique des bureaux, veuillez consulter cet autre jeu de données : <a href=""http://data.stmalo-agglomeration.fr/explore/dataset/emplacement-des-bureaux-de-vote-saint-malo/"">Emplacement des bureaux de vote</a></p>";Administration, Gouvernement, Finances publiques, Citoyenneté;vote, bureau, elections, electeur;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2017-04-24 13:21:32+00:00;;;2017-12-30 15:28:04+00:00;2017-12-30 15:28:05+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/perimetres-des-bureaux-de-vote/;20;Source : Direction de l'Environnement et de l'Espace Public - Ville de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25
statistiques-de-la-mediatheque;Médiathèque de Saint-Malo : statistiques;<p>La médiathèque de Saint-Malo, intégrée au Pole Culturel La Grande Passerelle, est ouverte depuis décembre 2014.</p><p>Ce jeu de données recense quelques statistiques annuelles sur les ouvrages disponibles, les abonnés et la fréquentation de l'équipement.</p><p>Le nombre de documents est une extraction des notices d'exemplaires alors que le nombre d'acquisitions est une extraction des notices bibliographiques intégrées dès l'achat.</p>;Education, Formation, Recherche, Enseignement;médiathèque, bibliothèque, livre, cd, dvd;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2017-05-05 11:46:06+00:00;;;2017-12-30 15:27:27+00:00;2017-12-30 15:27:28+00:00;;;;Ville de Saint-Malo;;2;Direction de la Culture - Mairie de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51
mediatheque-de-saint-malo-les-bd-les-plus-empruntes;Médiathèque de Saint-Malo : les BD les plus empruntés;"<p>Par an ou par trimestre, ""top 10"" des <strong>séries* </strong>de bandes dessinées les plus empruntées à la médiathèque de la Grande Passerelle.</p><p>* : tous tomes confondus</p>";Education, Formation, Recherche, Enseignement;médiathèque, bibliothèque, lecture, bd, ouvrage;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2017-05-05 11:57:25+00:00;;;2017-12-30 15:28:45+00:00;2017-12-30 15:28:46+00:00;;;;Ville de Saint-Malo;;30;Direction de la Culture - Mairie de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26
